Dataset,Model,Condition,RowIndex,JSD
BIGOBENCH,Gemini-2.0-Flash,ISO,38,0.173921
BIGOBENCH,Gemini-2.0-Flash,ISO,39,0.173921
BIGOBENCH,Gemini-2.0-Flash,ISO,40,0.323756
BIGOBENCH,Gemini-2.0-Flash,ISO,41,0.204138
BIGOBENCH,Gemini-2.0-Flash,ISO,42,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,43,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,44,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,45,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,46,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,47,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,48,0.065398
BIGOBENCH,Gemini-2.0-Flash,ISO,49,0.065398
BIGOBENCH,Gemini-2.0-Flash,ISO,50,0.065398
BIGOBENCH,Gemini-2.0-Flash,ISO,51,0.065398
BIGOBENCH,Gemini-2.0-Flash,ISO,52,0.136873
BIGOBENCH,Gemini-2.0-Flash,ISO,53,0.136873
BIGOBENCH,Gemini-2.0-Flash,ISO,54,0.366269
BIGOBENCH,Gemini-2.0-Flash,ISO,55,0.366269
BIGOBENCH,Gemini-2.0-Flash,ISO,56,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,57,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,58,0.173921
BIGOBENCH,Gemini-2.0-Flash,ISO,59,0.173921
BIGOBENCH,Gemini-2.0-Flash,ISO,60,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,61,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,62,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,63,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,64,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,65,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,66,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,67,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,68,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,69,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,70,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,71,0.323332
BIGOBENCH,Gemini-2.0-Flash,ISO,72,0.323332
BIGOBENCH,Gemini-2.0-Flash,ISO,73,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,74,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,75,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,76,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,78,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,79,0.027728
BIGOBENCH,Gemini-2.0-Flash,ISO,80,0.040313
BIGOBENCH,Gemini-2.0-Flash,ISO,81,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,82,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,83,0.028128
BIGOBENCH,Gemini-2.0-Flash,ISO,84,0.053563
BIGOBENCH,Gemini-2.0-Flash,ISO,85,0.262755
BIGOBENCH,Gemini-2.0-Flash,ISO,86,0.262755
BIGOBENCH,Gemini-2.0-Flash,ISO,87,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,88,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,89,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,90,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,91,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,92,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,93,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,94,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,95,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,96,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,97,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,98,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,99,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,100,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,101,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,102,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,103,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,104,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,105,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,106,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,107,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,108,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,109,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,110,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,111,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,112,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,113,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,114,0.010491
BIGOBENCH,Gemini-2.0-Flash,ISO,115,0.030911
BIGOBENCH,Gemini-2.0-Flash,ISO,116,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,117,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,118,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,119,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,120,0.322443
BIGOBENCH,Gemini-2.0-Flash,ISO,121,0.322140
BIGOBENCH,Gemini-2.0-Flash,ISO,122,0.065398
BIGOBENCH,Gemini-2.0-Flash,ISO,123,0.065398
BIGOBENCH,Gemini-2.0-Flash,ISO,124,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,125,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,126,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,127,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,128,0.374479
BIGOBENCH,Gemini-2.0-Flash,ISO,129,0.374479
BIGOBENCH,Gemini-2.0-Flash,ISO,130,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,131,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,132,0.065398
BIGOBENCH,Gemini-2.0-Flash,ISO,133,0.065398
BIGOBENCH,Gemini-2.0-Flash,ISO,134,0.173921
BIGOBENCH,Gemini-2.0-Flash,ISO,135,0.173921
BIGOBENCH,Gemini-2.0-Flash,ISO,136,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,137,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,138,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,139,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,140,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,141,0.065398
BIGOBENCH,Gemini-2.0-Flash,ISO,142,0.065398
BIGOBENCH,Gemini-2.0-Flash,ISO,143,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,144,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,145,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,146,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,147,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,148,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,151,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,152,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,153,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,154,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,155,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,156,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,157,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,158,0.173921
BIGOBENCH,Gemini-2.0-Flash,ISO,159,0.173921
BIGOBENCH,Gemini-2.0-Flash,ISO,160,0.084248
BIGOBENCH,Gemini-2.0-Flash,ISO,161,0.070273
BIGOBENCH,Gemini-2.0-Flash,ISO,162,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,163,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,164,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,165,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,166,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,167,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,168,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,169,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,170,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,171,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,172,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,173,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,174,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,175,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,176,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,177,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,180,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,181,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,182,0.052995
BIGOBENCH,Gemini-2.0-Flash,ISO,183,0.052995
BIGOBENCH,Gemini-2.0-Flash,ISO,184,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,185,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,186,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,187,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,188,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,189,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,190,0.153452
BIGOBENCH,Gemini-2.0-Flash,ISO,191,0.153452
BIGOBENCH,Gemini-2.0-Flash,ISO,192,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,193,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,194,0.091471
BIGOBENCH,Gemini-2.0-Flash,ISO,195,0.091471
BIGOBENCH,Gemini-2.0-Flash,ISO,196,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,197,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,198,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,199,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,200,0.147000
BIGOBENCH,Gemini-2.0-Flash,ISO,201,0.147000
BIGOBENCH,Gemini-2.0-Flash,ISO,202,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,203,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,204,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,205,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,206,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,207,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,208,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,209,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,210,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,211,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,212,0.006978
BIGOBENCH,Gemini-2.0-Flash,ISO,213,0.000998
BIGOBENCH,Gemini-2.0-Flash,ISO,214,0.268198
BIGOBENCH,Gemini-2.0-Flash,ISO,215,0.268198
BIGOBENCH,Gemini-2.0-Flash,ISO,216,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,217,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,218,0.066224
BIGOBENCH,Gemini-2.0-Flash,ISO,219,0.066224
BIGOBENCH,Gemini-2.0-Flash,ISO,220,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,221,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,222,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,223,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,224,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,225,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,226,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,227,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,228,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,229,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,230,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,231,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,232,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,233,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,234,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,235,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,236,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,237,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,238,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,239,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,242,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,243,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,244,0.034069
BIGOBENCH,Gemini-2.0-Flash,ISO,245,0.034069
BIGOBENCH,Gemini-2.0-Flash,ISO,246,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,247,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,248,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,249,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,250,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,251,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,252,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,253,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,254,0.369553
BIGOBENCH,Gemini-2.0-Flash,ISO,255,0.369553
BIGOBENCH,Gemini-2.0-Flash,ISO,256,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,257,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,258,0.400434
BIGOBENCH,Gemini-2.0-Flash,ISO,259,0.400434
BIGOBENCH,Gemini-2.0-Flash,ISO,260,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,261,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,262,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,263,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,264,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,265,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,266,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,267,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,268,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,269,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,270,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,271,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,272,0.336325
BIGOBENCH,Gemini-2.0-Flash,ISO,273,0.336325
BIGOBENCH,Gemini-2.0-Flash,ISO,274,0.209359
BIGOBENCH,Gemini-2.0-Flash,ISO,275,0.209359
BIGOBENCH,Gemini-2.0-Flash,ISO,276,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,277,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,278,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,279,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,280,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,281,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,282,0.374381
BIGOBENCH,Gemini-2.0-Flash,ISO,283,0.373844
BIGOBENCH,Gemini-2.0-Flash,ISO,284,0.374381
BIGOBENCH,Gemini-2.0-Flash,ISO,285,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,286,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,287,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,288,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,289,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,290,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,291,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,292,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,293,0.015628
BIGOBENCH,Gemini-2.0-Flash,ISO,294,0.015628
BIGOBENCH,Gemini-2.0-Flash,ISO,295,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,296,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,297,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,298,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,299,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,300,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,301,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,302,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,303,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,304,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,305,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,306,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,307,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,308,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,309,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,310,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,313,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,314,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,315,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,316,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,317,0.383465
BIGOBENCH,Gemini-2.0-Flash,ISO,318,0.383465
BIGOBENCH,Gemini-2.0-Flash,ISO,319,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,320,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,321,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,322,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,323,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,324,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,325,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,326,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,327,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,328,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,329,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,330,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,331,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,332,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,333,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,334,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,335,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,336,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,337,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,338,0.063613
BIGOBENCH,Gemini-2.0-Flash,ISO,339,0.063613
BIGOBENCH,Gemini-2.0-Flash,ISO,340,0.173921
BIGOBENCH,Gemini-2.0-Flash,ISO,341,0.173921
BIGOBENCH,Gemini-2.0-Flash,ISO,342,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,343,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,344,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,345,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,346,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,347,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,348,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,349,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,350,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,351,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,352,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,353,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,354,0.589028
BIGOBENCH,Gemini-2.0-Flash,ISO,355,0.589028
BIGOBENCH,Gemini-2.0-Flash,ISO,356,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,357,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,358,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,359,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,360,0.065398
BIGOBENCH,Gemini-2.0-Flash,ISO,361,0.065398
BIGOBENCH,Gemini-2.0-Flash,ISO,362,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,363,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,364,0.263127
BIGOBENCH,Gemini-2.0-Flash,ISO,365,0.263127
BIGOBENCH,Gemini-2.0-Flash,ISO,366,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,367,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,368,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,369,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,370,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,371,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,372,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,373,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,374,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,375,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,376,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,377,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,378,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,379,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,380,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,381,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,382,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,383,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,384,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,385,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,386,0.173921
BIGOBENCH,Gemini-2.0-Flash,ISO,387,0.173921
BIGOBENCH,Gemini-2.0-Flash,ISO,388,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,389,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,390,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,391,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,392,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,394,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,395,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,396,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,397,0.279403
BIGOBENCH,Gemini-2.0-Flash,ISO,398,0.279403
BIGOBENCH,Gemini-2.0-Flash,ISO,399,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,400,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,401,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,402,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,403,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,404,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,405,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,406,0.003499
BIGOBENCH,Gemini-2.0-Flash,ISO,407,0.011096
BIGOBENCH,Gemini-2.0-Flash,ISO,408,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,409,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,410,0.173921
BIGOBENCH,Gemini-2.0-Flash,ISO,411,0.173921
BIGOBENCH,Gemini-2.0-Flash,ISO,412,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,413,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,414,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,415,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,416,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,417,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,418,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,419,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,420,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,421,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,422,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,423,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,424,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,425,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,426,0.009041
BIGOBENCH,Gemini-2.0-Flash,ISO,427,0.017048
BIGOBENCH,Gemini-2.0-Flash,ISO,428,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,429,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,430,0.430997
BIGOBENCH,Gemini-2.0-Flash,ISO,431,0.396980
